date,avg
01/08/1967,245
01/09/1967,245
01/10/1967,259
01/11/1967,337
01/12/1967,547
01/01/1968,666
01/02/1968,1076
01/05/1968,1077
01/06/1968,275
01/07/1968,272
01/08/1968,245
01/09/1968,286
01/10/1968,306
01/11/1968,337
01/12/1968,532
01/01/1969,532
01/03/1969,532
01/05/1969,532
01/06/1969,319
01/07/1969,276
01/08/1969,246
01/09/1969,238
01/10/1969,327
01/11/1969,393
01/12/1969,637
01/01/1970,618
01/02/1970,608
01/03/1970,1064
01/07/1970,1064
01/08/1970,275
01/09/1970,283
01/10/1970,352
01/11/1970,372
01/12/1970,442
01/01/1971,730
01/02/1971,1351
01/03/1971,1196
01/04/1971,1226
01/05/1971,752
01/06/1971,414
01/07/1971,349
01/08/1971,310
01/09/1971,290
01/10/1971,335
01/11/1971,444
01/12/1971,527
01/01/1972,958
01/02/1972,1242
01/03/1972,1276
01/04/1972,852
01/05/1972,646
01/06/1972,392
01/07/1972,327
01/08/1972,314
01/09/1972,337
01/10/1972,326
01/11/1972,391
01/12/1972,722
01/01/1973,859
01/02/1973,1231
01/03/1973,1166
01/04/1973,1179
01/05/1973,630
01/06/1973,505
01/07/1973,408
01/08/1973,355
01/09/1973,320
01/10/1973,336
01/11/1973,616
01/12/1973,851
01/01/1974,1220
01/02/1974,1437
01/03/1974,1254
01/04/1974,1052
01/05/1974,633
01/06/1974,477
01/07/1974,398
01/08/1974,368
01/09/1974,322
01/10/1974,463
01/11/1974,484
01/12/1974,830
01/01/1975,866
01/02/1975,1195
01/03/1975,1280
01/04/1975,932
01/05/1975,787
01/06/1975,497
01/07/1975,512
01/08/1975,385
01/09/1975,383
01/10/1975,368
01/11/1975,402
01/12/1975,493
01/01/1976,1074
01/02/1976,1378
01/03/1976,1368
01/04/1976,1114
01/05/1976,566
01/06/1976,455
01/07/1976,384
01/08/1976,352
01/09/1976,346
01/10/1976,390
01/11/1976,445
01/12/1976,691
01/01/1977,1062
01/02/1977,1103
01/03/1977,1217
01/04/1977,757
01/05/1977,711
01/06/1977,372
01/07/1977,341
01/08/1977,315
01/09/1977,313
01/10/1977,420
01/11/1977,785
01/12/1977,845
01/01/1978,965
01/02/1978,1081
01/03/1978,1317
01/04/1978,1295
01/05/1978,799
01/06/1978,551
01/07/1978,424
01/08/1978,370
01/09/1978,378
01/10/1978,439
01/11/1978,637
01/12/1978,1358
01/01/1979,1136
01/02/1979,886
01/03/1979,1346
01/04/1979,967
01/05/1979,747
01/06/1979,481
01/07/1979,413
01/08/1979,386
01/09/1979,390
01/10/1979,408
01/11/1979,559
01/12/1979,654
01/01/1980,778
01/02/1980,920
01/03/1980,1028
01/04/1980,694
01/05/1980,520
01/06/1980,380
01/07/1980,344
01/08/1980,346
01/09/1980,336
01/10/1980,414
01/11/1980,412
01/12/1980,555
01/01/1981,768
01/02/1981,1171
01/03/1981,1153
01/04/1981,1010
01/05/1981,649
01/06/1981,566
01/07/1981,377
01/08/1981,359
01/09/1981,339
01/10/1981,388
01/11/1981,470
01/12/1981,662
01/01/1982,989
01/02/1982,1124
01/03/1982,1178
01/04/1982,990
01/05/1982,597
01/06/1982,490
01/07/1982,384
01/08/1982,389
01/09/1982,408
01/10/1982,542
01/11/1982,598
01/12/1982,855
01/01/1983,835
01/02/1983,824
01/03/1983,1095
01/04/1983,864
01/05/1983,651
01/06/1983,467
01/07/1983,362
01/08/1983,319
01/09/1983,304
01/10/1983,313
01/11/1983,506
01/12/1983,684
01/01/1984,988
01/02/1984,1324
01/03/1984,1200
01/04/1984,1275
01/05/1984,674
01/06/1984,470
01/07/1984,397
01/08/1984,360
01/09/1984,392
01/10/1984,446
01/11/1984,777
01/12/1984,867
01/01/1985,1146
01/02/1985,904
01/03/1985,1177
01/04/1985,1273
01/05/1985,1006
01/06/1985,519
01/07/1985,422
01/08/1985,402
01/09/1985,406
01/10/1985,555
01/11/1985,721
01/12/1985,759
01/01/1986,1244
01/02/1986,1370
01/03/1986,1210
01/04/1986,1105
01/05/1986,678
01/06/1986,468
01/07/1986,411
01/08/1986,402
01/09/1986,397
01/10/1986,437
01/11/1986,476
01/12/1986,717
01/01/1987,1024
01/02/1987,904
01/03/1987,709
01/04/1987,786
01/05/1987,703
01/06/1987,411
01/07/1987,354
01/08/1987,311
01/09/1987,294
01/10/1987,356
01/11/1987,580
01/12/1987,710
01/01/1988,799
01/02/1988,1506
01/03/1988,992
01/04/1988,1149
01/05/1988,709
01/06/1988,484
01/07/1988,392
01/08/1988,349
01/09/1988,340
01/10/1988,348
01/11/1988,375
01/12/1988,654
01/01/1989,1060
01/02/1989,1194
01/03/1989,1046
01/04/1989,1083
01/05/1989,787
01/06/1989,459
01/07/1989,377
01/08/1989,335
01/09/1989,321
01/10/1989,376
01/11/1989,562
01/12/1989,503
01/01/1990,1070
01/02/1990,1069
01/03/1990,1167
01/04/1990,911
01/05/1990,645
01/06/1990,411
01/07/1990,354
01/08/1990,306
01/09/1990,332
01/10/1990,385
01/11/1990,605
01/12/1990,853
01/01/1991,1239
01/02/1991,1167
01/03/1991,1147
01/04/1991,659
01/05/1991,594
01/06/1991,426
01/07/1991,353
01/08/1991,325
01/09/1991,327
01/10/1991,318
01/11/1991,511
01/12/1991,632
01/01/1992,898
01/02/1992,801
01/03/1992,1010
01/04/1992,968
01/05/1992,525
01/06/1992,373
01/07/1992,342
01/08/1992,303
01/09/1992,357
01/10/1992,366
01/11/1992,474
01/12/1992,808
01/01/1993,1092
01/02/1993,1042
01/03/1993,1159
01/04/1993,938
01/05/1993,673
01/06/1993,441
01/07/1993,361
01/08/1993,335
01/09/1993,324
01/10/1993,351
01/11/1993,582
01/12/1993,760
01/01/1994,868
01/02/1994,1317
01/03/1994,1000
01/04/1994,1102
01/05/1994,669
01/06/1994,433
01/07/1994,350
01/08/1994,303
01/09/1994,298
01/10/1994,330
01/11/1994,497
01/07/1995,327
01/08/1995,277
01/09/1995,267
01/10/1995,288
01/11/1995,441
01/12/1995,684
01/01/1996,701
01/02/1996,1138
01/03/1996,1114
01/04/1996,1051
01/05/1996,651
01/06/1996,427
01/07/1996,327
01/08/1996,289
01/09/1996,305
01/10/1996,334
01/11/1996,539
01/12/1996,596
01/01/1997,859
01/02/1997,1243
01/03/1997,1603
01/04/1997,1070
01/05/1997,741
01/06/1997,467
01/07/1997,375
01/08/1997,347
01/09/1997,322
01/10/1997,324
01/11/1997,462
01/12/1997,425
01/01/1998,822
01/02/1998,805
01/03/1998,1100
01/04/1998,740
01/05/1998,412
01/06/1998,380
01/07/1998,262
01/08/1998,239
01/09/1998,221
01/10/1998,296
01/11/1998,652
01/12/1998,1034
01/01/1999,1247
01/02/1999,1304
01/03/1999,995
01/04/1999,844
01/05/1999,826
01/06/1999,524
01/07/1999,401
01/08/1999,297
01/09/1999,287
01/10/1999,287
01/11/1999,547
01/12/1999,850
01/01/2000,853
01/02/2000,870
01/03/2000,968
01/04/2000,696
01/05/2000,497
01/06/2000,361
01/07/2000,308
01/08/2000,296
01/09/2000,238
01/10/2000,317
01/11/2000,471
01/12/2000,412
01/01/2001,848
01/02/2001,839
01/03/2001,1258
01/04/2001,831
01/05/2001,437
01/06/2001,382
01/07/2001,309
01/08/2001,259
01/09/2001,250
01/10/2001,320
01/11/2001,519
01/12/2001,821
01/01/2002,891
01/02/2002,1142
01/03/2002,1007
01/04/2002,841
01/05/2002,655
01/06/2002,392
01/07/2002,326
01/08/2002,298
01/09/2002,278
01/10/2002,303
01/11/2002,352
01/12/2002,527
01/01/2003,775
01/02/2003,1133
01/03/2003,1062
01/04/2003,837
01/05/2003,429
01/06/2003,352
01/07/2003,284
01/08/2003,259
01/09/2003,260
01/10/2003,425
01/11/2003,493
01/12/2003,421
01/01/2004,1018
01/02/2004,1098
01/03/2004,936
01/04/2004,810
01/05/2004,423
01/06/2004,320
01/07/2004,299
01/08/2004,248
01/09/2004,242
01/10/2004,264
01/11/2004,450
01/12/2004,645
01/01/2005,589
01/02/2005,1001
01/03/2005,762
01/04/2005,712
01/05/2005,412
01/06/2005,260
01/07/2005,220
01/08/2005,184
01/09/2005,171
01/10/2005,245
01/11/2005,448
01/12/2005,760
01/01/2006,850
01/02/2006,1383
01/03/2006,939
01/04/2006,955
01/05/2006,409
01/06/2006,328
01/07/2006,240
01/08/2006,221
01/09/2006,217
01/10/2006,307
01/11/2006,410
01/12/2006,800
01/01/2007,966
01/02/2007,966
01/05/2007,644
01/06/2007,353
01/07/2007,259
01/08/2007,205
01/09/2007,209
01/10/2007,249
01/11/2007,362
01/12/2007,708
01/01/2008,873
01/02/2008,1114
01/03/2008,901
01/04/2008,1001
01/05/2008,383
01/06/2008,296
01/07/2008,233
01/08/2008,217
01/09/2008,203
01/10/2008,235
01/11/2008,361
01/12/2008,665
01/01/2009,1023
01/02/2009,976
01/03/2009,1294
01/04/2009,1366
01/05/2009,973
01/06/2009,602
01/07/2009,400
01/08/2009,292
01/09/2009,277
01/10/2009,284
01/11/2009,334
01/12/2009,881
01/01/2010,920
01/02/2010,1023
01/03/2010,1144
01/04/2010,867
01/05/2010,492
01/06/2010,311
01/07/2010,254
01/08/2010,204
01/09/2010,210
01/10/2010,236
01/08/1967,236
01/09/1967,245
01/10/1967,259
01/11/1967,337
01/12/1967,547
01/01/1968,666
01/02/1968,1076
01/05/1968,1076
01/06/1968,275
01/07/1968,272
01/08/1968,245
01/09/1968,286
01/10/1968,306
01/11/1968,337
01/12/1968,532
01/01/1969,532
01/03/1969,532
01/05/1969,532
01/06/1969,319
01/07/1969,276
01/08/1969,246
01/09/1969,238
01/10/1969,327
01/11/1969,393
01/12/1969,637
01/01/1970,618
01/02/1970,608
01/03/1970,1064
01/07/1970,1064
01/08/1970,275
01/09/1970,283
01/10/1970,352
01/11/1970,372
01/12/1970,442
01/01/1971,730
01/02/1971,1351
01/03/1971,1196
01/04/1971,1226
01/05/1971,752
01/06/1971,414
01/07/1971,349
01/08/1971,310
01/09/1971,290
01/10/1971,335
01/11/1971,444
01/12/1971,527
01/01/1972,958
01/02/1972,1242
01/03/1972,1276
01/04/1972,851
01/05/1972,646
01/06/1972,392
01/07/1972,327
01/08/1972,314
01/09/1972,337
01/10/1972,326
01/11/1972,391
01/12/1972,722
01/01/1973,859
01/02/1973,1231
01/03/1973,1166
01/04/1973,1179
01/05/1973,630
01/06/1973,505
01/07/1973,408
01/08/1973,355
01/09/1973,320
01/10/1973,336
01/11/1973,616
01/12/1973,851
01/01/1974,1220
01/02/1974,1437
01/03/1974,1254
01/04/1974,1052
01/05/1974,633
01/06/1974,477
01/07/1974,398
01/08/1974,368
01/09/1974,322
01/10/1974,463
01/11/1974,484
01/12/1974,830
01/01/1975,866
01/02/1975,1195
01/03/1975,1280
01/04/1975,932
01/05/1975,787
01/06/1975,497
01/07/1975,512
01/08/1975,385
01/09/1975,383
01/10/1975,368
01/11/1975,402
01/12/1975,493
01/01/1976,1074
01/02/1976,1378
01/03/1976,1368
01/04/1976,1114
01/05/1976,566
01/06/1976,455
01/07/1976,384
01/08/1976,352
01/09/1976,346
01/10/1976,390
01/11/1976,444
01/12/1976,691
01/01/1977,1062
01/02/1977,1103
01/03/1977,1217
01/04/1977,757
01/05/1977,711
01/06/1977,400
01/07/1977,391
01/08/1977,328
01/09/1977,313
01/10/1977,420
01/11/1977,785
01/12/1977,845
01/01/1978,965
01/02/1978,1081
01/03/1978,1317
01/04/1978,1295
01/05/1978,799
01/06/1978,551
01/07/1978,424
01/08/1978,370
01/09/1978,378
01/10/1978,439
01/11/1978,637
01/12/1978,1358
01/01/1979,1136
01/02/1979,886
01/03/1979,1346
01/04/1979,967
01/05/1979,747
01/06/1979,481
01/07/1979,413
01/08/1979,386
01/09/1979,390
01/10/1979,408
01/11/1979,559
01/12/1979,654
01/01/1980,778
01/02/1980,920
01/03/1980,1028
01/04/1980,694
01/05/1980,520
01/06/1980,380
01/07/1980,344
01/08/1980,346
01/09/1980,336
01/10/1980,414
01/11/1980,412
01/12/1980,555
01/01/1981,768
01/02/1981,1171
01/03/1981,1153
01/04/1981,1010
01/05/1981,649
01/06/1981,566
01/07/1981,377
01/08/1981,359
01/09/1981,339
01/10/1981,388
01/11/1981,470
01/12/1981,662
01/01/1982,989
01/02/1982,1124
01/03/1982,1178
01/04/1982,990
01/05/1982,597
01/06/1982,490
01/07/1982,384
01/08/1982,389
01/09/1982,408
01/10/1982,542
01/11/1982,598
01/12/1982,855
01/01/1983,835
01/02/1983,824
01/03/1983,1095
01/04/1983,864
01/05/1983,651
01/06/1983,467
01/07/1983,362
01/08/1983,319
01/09/1983,304
01/10/1983,313
01/11/1983,506
01/12/1983,684
01/01/1984,988
01/02/1984,1324
01/03/1984,1200
01/04/1984,1275
01/05/1984,674
01/06/1984,470
01/07/1984,397
01/08/1984,360
01/09/1984,392
01/10/1984,446
01/11/1984,777
01/12/1984,867
01/01/1985,1146
01/02/1985,904
01/03/1985,1177
01/04/1985,1273
01/05/1985,1006
01/06/1985,519
01/07/1985,422
01/08/1985,402
01/09/1985,406
01/10/1985,555
01/11/1985,721
01/12/1985,759
01/01/1986,1244
01/02/1986,1370
01/03/1986,1210
01/04/1986,1105
01/05/1986,678
01/06/1986,468
01/07/1986,411
01/08/1986,402
01/09/1986,397
01/10/1986,437
01/11/1986,476
01/12/1986,717
01/01/1987,1024
01/02/1987,904
01/03/1987,709
01/04/1987,786
01/05/1987,703
01/06/1987,411
01/07/1987,354
01/08/1987,311
01/09/1987,294
01/10/1987,356
01/11/1987,580
01/12/1987,1421
01/01/1988,799
01/02/1988,1506
01/03/1988,992
01/04/1988,1149
01/05/1988,709
01/06/1988,483
01/07/1988,392
01/08/1988,349
01/09/1988,340
01/10/1988,348
01/11/1988,375
01/12/1988,654
01/01/1989,1060
01/02/1989,1194
01/03/1989,1046
01/04/1989,1083
01/05/1989,787
01/06/1989,459
01/07/1989,377
01/08/1989,335
01/09/1989,321
01/10/1989,376
01/11/1989,562
01/12/1989,503
01/01/1990,1070
01/02/1990,1069
01/03/1990,1167
01/04/1990,911
01/05/1990,645
01/06/1990,411
01/07/1990,354
01/08/1990,306
01/09/1990,332
01/10/1990,385
01/11/1990,605
01/12/1990,853
01/01/1991,1239
01/02/1991,1167
01/03/1991,1147
01/04/1991,659
01/05/1991,594
01/06/1991,426
01/07/1991,353
01/08/1991,325
01/09/1991,327
01/10/1991,318
01/11/1991,511
01/12/1991,632
01/01/1992,898
01/02/1992,801
01/03/1992,1008
01/04/1992,968
01/05/1992,525
01/06/1992,373
01/07/1992,342
01/08/1992,303
01/09/1992,357
01/10/1992,366
01/11/1992,474
01/12/1992,808
01/01/1993,1092
01/02/1993,1042
01/03/1993,1159
01/04/1993,938
01/05/1993,673
01/06/1993,441
01/07/1993,361
01/08/1993,335
01/09/1993,324
01/10/1993,351
01/11/1993,582
01/12/1993,760
01/01/1994,868
01/02/1994,1317
01/03/1994,1000
01/04/1994,1102
01/05/1994,669
01/06/1994,433
01/07/1994,350
01/08/1994,303
01/09/1994,298
01/10/1994,330
01/11/1994,497
01/12/1994,618
01/01/1995,764
01/02/1995,822
01/03/1995,1280
01/04/1995,895
01/05/1995,643
01/06/1995,391
01/07/1995,327
01/08/1995,277
01/09/1995,267
01/10/1995,288
01/11/1995,441
01/12/1995,684
01/01/1996,701
01/02/1996,1138
01/03/1996,1114
01/04/1996,1051
01/05/1996,651
01/06/1996,427
01/07/1996,327
01/08/1996,289
01/09/1996,305
01/10/1996,334
01/11/1996,539
01/12/1996,596
01/01/1997,859
01/02/1997,1243
01/03/1997,1603
01/04/1997,1070
01/05/1997,741
01/06/1997,467
01/07/1997,375
01/08/1997,347
01/09/1997,322
01/10/1997,324
01/11/1997,462
01/12/1997,425
01/01/1998,822
01/02/1998,805
01/03/1998,1099
01/04/1998,739
01/05/1998,412
01/06/1998,380
01/07/1998,262
01/08/1998,239
01/09/1998,220
01/10/1998,296
01/11/1998,652
01/12/1998,1034
01/01/1999,1247
01/02/1999,1303
01/03/1999,995
01/04/1999,844
01/05/1999,826
01/06/1999,523
01/07/1999,400
01/08/1999,296
01/09/1999,286
01/10/1999,287
01/11/1999,546
01/12/1999,850
01/01/2000,853
01/02/2000,870
01/03/2000,967
01/04/2000,696
01/05/2000,497
01/06/2000,361
01/07/2000,308
01/08/2000,295
01/09/2000,238
01/10/2000,317
01/11/2000,470
01/12/2000,412
01/01/2001,848
01/02/2001,838
01/03/2001,1257
01/04/2001,831
01/05/2001,437
01/06/2001,381
01/07/2001,309
01/08/2001,258
01/09/2001,250
01/10/2001,320
01/11/2001,519
01/12/2001,821
01/01/2002,891
01/02/2002,1142
01/03/2002,1006
01/04/2002,840
01/05/2002,655
01/06/2002,392
01/07/2002,325
01/08/2002,297
01/09/2002,278
01/10/2002,303
01/11/2002,351
01/12/2002,527
01/01/2003,775
01/02/2003,1133
01/03/2003,1062
01/04/2003,837
01/05/2003,429
01/06/2003,352
01/07/2003,284
01/08/2003,259
01/09/2003,260
01/10/2003,425
01/11/2003,493
01/12/2003,421
01/01/2004,1018
01/02/2004,1098
01/03/2004,936
01/04/2004,810
01/05/2004,423
01/06/2004,320
01/07/2004,299
01/08/2004,248
01/09/2004,242
01/10/2004,264
01/11/2004,450
01/12/2004,645
01/01/2005,589
01/02/2005,1001
01/03/2005,762
01/04/2005,712
01/05/2005,412
01/06/2005,260
01/07/2005,220
01/08/2005,184
01/09/2005,171
01/10/2005,245
01/11/2005,448
01/12/2005,760
01/01/2006,850
01/02/2006,1383
01/03/2006,939
01/04/2006,955
01/05/2006,409
01/06/2006,328
01/07/2006,240
01/08/2006,221
01/09/2006,217
01/10/2006,307
01/11/2006,410
01/12/2006,800
01/01/2007,966
01/02/2007,1003
01/03/2007,1092
01/04/2007,831
01/05/2007,644
01/06/2007,353
01/07/2007,259
01/08/2007,205
01/09/2007,209
01/10/2007,249
01/11/2007,362
01/12/2007,708
01/01/2008,873
01/02/2008,1114
01/03/2008,901
01/04/2008,1001
01/05/2008,383
01/06/2008,296
01/07/2008,233
01/08/2008,217
01/09/2008,203
01/10/2008,235
01/11/2008,361
01/12/2008,665
01/01/2009,1023
01/02/2009,976
01/03/2009,1294
01/04/2009,1366
01/05/2009,973
01/06/2009,602
01/07/2009,400
01/08/2009,292
01/09/2009,277
01/10/2009,284
01/11/2009,334
01/12/2009,881
01/01/2010,920
01/02/2010,1023
01/03/2010,1144
01/04/2010,867
01/05/2010,492
01/06/2010,311
01/07/2010,254
01/08/2010,204
01/09/2010,210
01/10/2010,236
01/11/2010,195
01/12/2010,410
01/01/2011,448
01/02/2011,922
01/03/2011,820
01/04/2011,1304
01/05/2011,508
01/06/2011,309
01/07/2011,220
01/08/2011,177
01/09/2011,186
01/10/2011,217
01/11/2011,416
01/12/2011,625
01/01/2012,1257
01/02/2012,1572
01/03/2012,1185
01/04/2012,782
01/05/2012,667
01/06/2012,406
01/07/2012,272
01/08/2012,217
01/09/2012,208
01/10/2012,368
01/11/2012,523
01/12/2012,622
01/01/2013,1101
01/02/2013,1082
01/03/2013,1314
01/04/2013,743
01/05/2013,366
01/06/2013,
01/07/2013,274
01/08/2013,221
01/09/2013,210
01/10/2013,257
01/11/2013,392
01/12/2013,665
01/01/2014,926
01/02/2014,1430
01/03/2014,1368
01/04/2014,963
01/05/2014,760
01/06/2014,394
01/07/2014,291
01/08/2014,251
01/09/2014,266
01/10/2014,277
01/11/2014,455
01/12/2014,677
01/01/2015,1054
01/02/2015,1064
01/03/2015,1543
01/04/2015,972
01/05/2015,960
01/06/2015,475
01/07/2015,330
01/08/2015,263
01/09/2015,232
01/10/2015,218
01/11/2015,347
01/12/2015,344
01/01/2016,576
01/02/2016,753
